order_date,product_name,region,province,city,supplier,type,customer_name,name,order_num,order_amount,send_num,send_amount,book_num,book_amount
2010-01-01,电饼铛,东北,辽宁,大连,美的,家用电器,大钰贸易,金士鹏,100,39800,99,39402,101,40198
2010-01-02,汽车清洁套装,东北,辽宁,大连,墨菲斯卡,汽车用品,大钰贸易,金士鹏,70,18130,55,14245,72,18648
2010-01-03,电磁炉,西北,甘肃,兰州,京东商城,家用电器,世邦,孙家鑫,22,8778,21,8379,25,9975
2010-01-04,电饭煲,西北,甘肃,兰州,万利达,家用电器,世邦,郑建杰,22,4356,21,4158,26,5148
2010-01-05,刀具7件套,华东,江苏,南京,苏泊尔,家居厨具,中通,张颖,30,7170,29,6931,35,8365
2010-01-06,计时器,华东,江苏,南京,苏泊尔,家居厨具,中通,张三,15,412.5,14,385,21,577.5
2010-01-07,储藏箱6件套,华北,河北,石家庄,美达斯,家居厨具,坦森行贸易,李伟豪,24,4536,23,4347,31,5859
2010-01-08,汽车坐垫,华南,海南,海口,墨菲斯卡,汽车用品,东旗,刘力,15,1485,14,1386,23,2277
2010-01-09,汽车香水,华南,海南,海口,京东商城,汽车用品,东旗,马明,15,825,14,770,24,1320
2010-01-10,微波炉,华中,湖北,武汉,松下,家用电器,中硕贸易,张媛媛,36,17964,35,17465,46,22954
2010-01-11,软件工程,华中,湖北,武汉,当当网,图书,中硕贸易,金士鹏,28,1652,27,1593,39,2301
2010-01-12,汽车坐垫,华中,湖北,武汉,墨菲斯卡,汽车用品,中硕贸易,金士鹏,25,2475,24,2376,37,3663
2010-01-13,汽车香水,华中,湖北,武汉,京东商城,汽车用品,中硕贸易,张媛媛,17,935,16,880,30,1650
2010-01-14,上网本,东北,辽宁,大连,步步高,电脑办公,正人资源,王伟,100,309900,90,278910,114,353286
2010-01-15,三人帐篷,东北,辽宁,大连,京东商城,运动户外,正人资源,王伟,23,11454,22,10956,38,18924
2010-01-16,运动鞋,东北,辽宁,大连,Nike,服装箱包,正人资源,赵健,25,22475,24,21576,41,36859
2010-01-17,毛呢外套女,东北,辽宁,大连,京东商城,服装箱包,正人资源,王伟,99,118701,87,104313,116,139084
2010-01-18,英语教材,西北,青海,西宁,京东商城,图书,昇昕股份有限公司,刘力,20,1980,19,1881,38,3762
2010-01-19,儿童套装,西北,青海,西宁,Nike,服装箱包,昇昕股份有限公司,马明,28,11172,27,10773,47,18753
2010-01-20,榨汁机,东北,吉林,长春,美的,家用电器,浩天旅行社,孙林,25,2725,24,2616,45,4905
2010-01-21,毛呢外套女,东北,吉林,长春,京东商城,服装箱包,浩天旅行社,高爽,30,35970,29,34771,51,61149
2010-01-22,运动手表,东北,吉林,长春,索尼,运动户外,浩天旅行社,孙林,20,17380,19,16511,42,36498
2010-01-23,CDMA3G手机,西南,重庆,重庆,OPPO,手机数码,池春建设,张颖,16,79952,15,74955,39,194883
2010-01-24,平板电脑,华北,天津,天津,步步高,电脑办公,留学服务中心,宋广伟,22,57178,21,54579,46,119554
2010-01-25,洗衣机,华北,天津,天津,西门子,家用电器,留学服务中心,赵军,40,43960,39,42861,65,71435
2010-01-26,床单四件套,华北,天津,天津,优雅主妇,家居厨具,留学服务中心,宋广伟,70,41930,69,41331,96,57504
2010-01-27,一次性纸杯,华北,天津,天津,好事达,家居厨具,留学服务中心,赵军,42,793.8,41,774.9,69,1304.1
2010-01-28,长焦数码相机,东北,吉林,长春,富士,手机数码,师大贸易,朱玉,80,159920,78,155922,108,215892
2010-01-29,计时器,东北,吉林,长春,苏泊尔,家居厨具,师大贸易,郑建杰,50,1375,48,1320,79,2172.5
2010-01-30,沙发,华中,湖北,武汉,好事达,家居厨具,汉典电机,张三,30,71640,28,66864,60,143280
2010-01-31,长焦数码相机,华中,湖北,武汉,富士,手机数码,汉典电机,李丽,25,49975,23,45977,56,111944
2010-02-01,冲锋衣,华东,浙江,温州?,探路者,运动户外,五金机械,李伟豪,25,11475,23,10557,57,26163
2010-02-02,软件工程,华东,浙江,温州?,当当网,图书,五金机械,李伟豪,20,1180,18,1062,53,3127
2010-02-03,沙发,华北,河北,石家庄,好事达,家居厨具,华科,张颖,42,100296,40,95520,76,181488
2010-02-04,三人帐篷,华东,江苏,南京,京东商城,运动户外,艾德高科技,张三,20,9960,18,8964,55,27390
2010-02-05,冰箱,华东,江苏,南京,西门子,家用电器,艾德高科技,李丽,20,37760,18,33984,56,105728
2010-02-06,计时器,华东,江西,南昌,苏泊尔,家居厨具,五洲信托,赵军,32,880,30,825,69,1897.5
2010-02-07,功放,西南,云南,昆明,尼康,手机数码,兰格英语,赵健,23,36754,21,33558,61,97478
2010-02-08,加湿器,西南,云南,昆明,明基,汽车用品,兰格英语,王伟,26,2574,24,2376,65,6435
2010-02-09,汽车坐垫,西南,云南,昆明,墨菲斯卡,汽车用品,兰格英语,王伟,20,1980,18,1782,60,5940
2010-02-10,卡片相机,东北,吉林,长春,奥林巴斯,手机数码,师大贸易,刘力,28,30800,26,28600,69,75900
2010-02-11,健身的意义,东北,吉林,长春,杰朴森,图书,师大贸易,马明,20,500,18,450,62,1550
2010-02-12,床单四件套,东北,吉林,长春,优雅主妇,家居厨具,师大贸易,刘力,16,9584,14,8386,59,35341
2010-02-13,电压力锅,东北,吉林,长春,明基,家用电器,师大贸易,刘力,30,7170,28,6692,74,17686
2010-02-14,运动手表,华东,浙江,温州?,索尼,运动户外,富泰人寿,刘伟力,24,20856,22,19118,69,59961
2010-02-15,汽车清洁套装,华北,天津,天津,墨菲斯卡,汽车用品,正人资源,郑建杰,32,8288,30,7770,78,20202
2010-02-16,迷你音响,华北,天津,天津,奴曼妮,手机数码,正人资源,孙家鑫,19,15162,17,13566,66,52668
2010-02-17,英语教材,华北,天津,天津,京东商城,图书,正人资源,郑建杰,24,2376,22,2178,72,7128
2010-02-18,不粘炒锅,华北,天津,天津,苏泊尔,家居厨具,正人资源,朱玉,60,11940,58,11542,109,21691
2010-02-19,运动手表,华北,天津,天津,索尼,运动户外,正人资源,郑建杰,50,43450,48,41712,100,86900
2010-02-20,三防手机,东北,吉林,长春,探路者,手机数码,国顶有限公司,马明,20,99940,18,89946,71,354787
2010-02-21,电子辞典,东北,吉林,长春,万利达,电脑办公,国顶有限公司,刘力,25,9975,23,9177,77,30723
2010-02-22,儿童套装,东北,吉林,长春,Nike,服装箱包,国顶有限公司,刘力,20,7980,19,7581,73,29127
2010-02-23,平板电脑,华东,福建,厦门,步步高,电脑办公,通恒机械,李伟豪,28,72772,27,70173,82,213118
2010-02-24,床单四件套,华东,福建,厦门,优雅主妇,家居厨具,通恒机械,李伟豪,25,14975,24,14376,80,47920
2010-02-25,多功能刀,西南,重庆,重庆,雷曼克斯,运动户外,昇昕股份有限公司,张三,20,2580,19,2451,76,9804
2010-02-26,床单四件套,西南,重庆,重庆,优雅主妇,家居厨具,昇昕股份有限公司,张颖,20,11980,19,11381,77,46123
